_id,id,name
61805c065e5c66cf47b9dbd3,5d026791d7ad1a04a067ea63,AR-10 Fortis RED Brake 7.62x51 muzzle brake
61805c085e5c66cf47b9dbd4,5e8488fa988a8701445df1e4,CALOK-B hemostatic applicator
61805c0a5e5c66cf47b9dbd5,5addbac75acfc400194dbc56,M1A 7.62x51 22 inch barrel
61805c0d5e5c66cf47b9dbd6,56742c284bdc2d98058b456d,Crickent lighter
61805c0f5e5c66cf47b9dbd7,60098af40accd37ef2175f27,CAT hemostatic tourniquet
61805c115e5c66cf47b9dbd8,5d0a3a58d7ad1a669c15ca14,KMZ 1P59 3-10x riflescope
61805c135e5c66cf47b9dbd9,5b3a337e5acfc4704b4a19a0,Zenit 2P Klesch flashlight + laser designator
61805c165e5c66cf47b9dbda,5a0ec13bfcdbcb00165aa685,AKMN 7.62x39 assault rifle
61805c185e5c66cf47b9dbdb,5b2240bf5acfc40dc528af69,AR-15 Radian Weapons Raptor charging handle
61805c1a5e5c66cf47b9dbdc,5a0eb980fcdbcb001a3b00a6,AKMB system rear sight
61805c1d5e5c66cf47b9dbdd,5a0d716f1526d8000d26b1e2,Izhmash SOK-12 AK type stock
61805c1f5e5c66cf47b9dbde,5df8a6a186f77412640e2e80,Christmas tree ornament
61805c215e5c66cf47b9dbdf,5c1a1e3f2e221602b66cc4c2,Fake white beard
61805c245e5c66cf47b9dbe0,59e4d3d286f774176a36250a,7.62x39mm HP
61805c265e5c66cf47b9dbe1,5c878ebb2e2216001219d48a,AK 7.62x39 Lantac Dragon muzzle brake & compensator
61805c285e5c66cf47b9dbe2,5de8f2d5b74cd90030650c72,MP9 9x19 sound suppressor
61805c2b5e5c66cf47b9dbe3,5c0126f40db834002a125382,Red Rebel ice pick
61805c2d5e5c66cf47b9dbe4,5c1cdd302e221602b3137250,Compact Mount adapter for sights
61805c2f5e5c66cf47b9dbe5,5a0d63621526d8dba31fe3bf,PBS-1 7.62x39 sound suppressor
61805c315e5c66cf47b9dbe6,5737218f245977612125ba51,9x18mm PM SP8 gzh
61805c345e5c66cf47b9dbe7,5efb0e16aeb21837e749c7ff,9x19mm QuakeMaker
61805c365e5c66cf47b9dbe8,59e6927d86f77411da468256,5.56x45mm MK 318 Mod 0
61805c385e5c66cf47b9dbe9,5fb655b748c711690e3a8d5a,KRISS Vector non-folding stock adapter
61805c3b5e5c66cf47b9dbea,5adf23995acfc400185c2aeb,MC 20-01 stock
61805c3d5e5c66cf47b9dbeb,5c791e872e2216001219c40a,Strike Industries Cobra Tactical foregrip
61805c3f5e5c66cf47b9dbec,57cffe0024597763b03fc60b,Magpul MOE AKM HAND GUARD for AK
61805c425e5c66cf47b9dbed,5bbde41ed4351e003562b038,Mosin Tacfire pistol grip
61805c445e5c66cf47b9dbee,5efb0da7a29a85116f6ea05f,9x19mm PBP gzh
61805c465e5c66cf47b9dbef,57adff4f24597737f373b6e6,SIG Sauer BRAVO4 4X30 Scope
61805c495e5c66cf47b9dbf0,5ab8f4ff86f77431c60d91ba,Ghost balaclava
61805c4b5e5c66cf47b9dbf1,5ba26b17d4351e00367f9bdd,MP7 flip up rear sight
61805c4d5e5c66cf47b9dbf2,5737201124597760fc4431f1,9x18mm PM Pst gzh
61805c4f5e5c66cf47b9dbf3,5c0e531286f7747fa54205c2,SJ1 TGLabs combat stimulant injector
61805c525e5c66cf47b9dbf4,5cda9bcfd7f00c0c0b53e900,ASh-12 Vertical foregrip
61805c545e5c66cf47b9dbf5,607d5a891246154cad35d6aa,MP-155 walnut stock
61805c565e5c66cf47b9dbf6,55d448594bdc2d8c2f8b4569,MP-133 12ga 610mm barrel
61805c595e5c66cf47b9dbf7,5888945a2459774bf43ba385,DVL-10 .308 500mm barrel
61805c5b5e5c66cf47b9dbf8,5de6558e9f98ac2bc65950fc,VPO-215 scope rail mount
61805c5d5e5c66cf47b9dbf9,601aa3d2b2bcb34913271e6d,7.62x39mm MAI AP
61805c605e5c66cf47b9dbfa,5bed625c0db834001c062946,RPK-16 5.45x39 95-round drum magazine
61805c625e5c66cf47b9dbfb,5926dad986f7741f82604363,MP5 MFI HK universal low profile scope mount
61805c645e5c66cf47b9dbfc,59c0ec5b86f77435b128bfca,Hexagon 12K 12ga sound suppressor
61805c675e5c66cf47b9dbfd,602e63fb6335467b0c5ac94d,STM-9 9x19 upper receiver
61805c695e5c66cf47b9dbfe,5ea17bbc09aa976f2e7a51cd,Surefire SOCOM556-RC2 5.56x45 sound suppressor
61805c6b5e5c66cf47b9dbff,5cbda392ae92155f3c17c39f,AK-100 series polymer handguard
61805c6e5e5c66cf47b9dc00,5c012ffc0db834001d23f03f,Camper axe
61805c705e5c66cf47b9dc01,60b0f93284c20f0feb453da7,Can of RatCola
61805c725e5c66cf47b9dc02,5a7828548dc32e5a9c28b516,Remington Model 870 12ga pump-action shotgun
61805c745e5c66cf47b9dc03,60b0f988c4449e4cb624c1da,Evasion armband
61805c775e5c66cf47b9dc04,5cf12a15d7f00c05464b293f,Remington M700 .308 ProMag AA-70 10-round magazine
61805c795e5c66cf47b9dc05,5c06779c86f77426e00dd782,Wires
61805c7b5e5c66cf47b9dc06,5cc6ea85e4a949000e1ea3c3,FN P90 K&M The Handler charging handle
61805c7e5e5c66cf47b9dc07,5c6beec32e221601da3578f2,GK-01 compensator
61805c805e5c66cf47b9dc08,5cc9a96cd7f00c011c04e04a,RPK-16 5.45x39 muzzle brake & compensator
61805c825e5c66cf47b9dc09,5e2af29386f7746d4159f077,KEKTAPE duct tape
61805c855e5c66cf47b9dc0a,59f32bb586f774757e1e8442,BEAR Gorka SSO
61805c875e5c66cf47b9dc0b,59e6687d86f77411d949b251,Molot VPO-209 .366 TKM carbine
61805c895e5c66cf47b9dc0c,5fc0f9b5d724d907e2077d82,MVF001 A3 KeyMod vertical grip
61805c8c5e5c66cf47b9dc0d,59db7eed86f77461f8380365,Trijicon TA51 sight mount
61805c8e5e5c66cf47b9dc0e,5c48a2852e221602b21d5923,MDR 5.56x45 406mm barrel
61805c905e5c66cf47b9dc0f,5bd06f5d86f77427101ad47c,Slender mask
61805c935e5c66cf47b9dc10,59fb023c86f7746d0d4b423c,Weapon box
61805c955e5c66cf47b9dc11,5c079ec50db834001966a706,TT Razor Arms rubber grip
61805c975e5c66cf47b9dc12,59c63b4486f7747afb151c1c,MP5SD B&T tri-rail ring mount
61805c995e5c66cf47b9dc13,5a17fc70fcdbcb0176308b3d,APS bakelite side-pieces
61805c9c5e5c66cf47b9dc14,5c503d0a2e221602b542b7ef,VPO-101 Vepr Hunter dust cover
61805c9e5e5c66cf47b9dc15,5d1c702ad7ad1a632267f429,Glock FAB Defense GLR-17 stock
61805ca05e5c66cf47b9dc16,5e2af4a786f7746d3f3c3400,Ripstop fabric
61805ca35e5c66cf47b9dc17,5aaa4194e5b5b055d06310a5,AK-74 5.45x39 Magpul PMAG 30 GEN M3 30-round magazine
61805ca55e5c66cf47b9dc18,5d403f9186f7743cac3f229b,Bottle of Dan Jackiel whiskey
61805ca75e5c66cf47b9dc19,5ae099925acfc4001a5fc7b3,Mosin rear sight
61805caa5e5c66cf47b9dc1a,5cadf6ddae9215051e1c23b2,12.7x55 mm PS12
61805cac5e5c66cf47b9dc1b,5f5f41476bdad616ad46d631,BNTI Korund-VM armor
61805cae5e5c66cf47b9dc1c,5a16bb52fcdbcb001a3b00dc,Wilcox Skull Lock head mount
61805cb05e5c66cf47b9dc1d,5a6b5e468dc32e001207faf5,Glock 9x19 Double Diamond thread protector
61805cb35e5c66cf47b9dc1e,5df25d3bfd6b4e6e2276dc9a,Orsis T-5000M handguard
61805cb55e5c66cf47b9dc1f,5df24cf80dee1b22f862e9bc,Orsis T-5000M .308 bolt-action sniper rifle
61805cb75e5c66cf47b9dc20,5d1b327086f7742525194449,Pressure gauge
61805cba5e5c66cf47b9dc21,5998598e86f7740b3f498a86,Saiga-9 9x19 muzzle brake/compensator
61805cbc5e5c66cf47b9dc22,57513f07245977207e26a311,Apple juice
61805cbe5e5c66cf47b9dc23,5c471c6c2e221602b66cd9ae,SVDS polymer handguard
61805cc15e5c66cf47b9dc24,544a3a774bdc2d3a388b4567,Leupold Mark 4 HAMR 4x24mm DeltaPoint hybrid assault scope
61805cc35e5c66cf47b9dc25,572b7fa524597762b747ce82,USEC Woodland Infiltrator Lower
61805cc55e5c66cf47b9dc26,5c064c400db834001d23f468,LaRue LT101 QD tactical picatinny riser mount
61805cc75e5c66cf47b9dc27,5938603e86f77435642354f4,Dorm room 206 key
61805cca5e5c66cf47b9dc28,590c595c86f7747884343ad7,Gas mask air filter
61805ccc5e5c66cf47b9dc29,5addbfbb5acfc400194dbcf7,M14 Ultimak M8 Forward Optic mount
61805cce5e5c66cf47b9dc2a,5fbcbd6c187fea44d52eda14,MCX pistol grip
61805cd15e5c66cf47b9dc2b,590a373286f774287540368b,Dry fuel
61805cd35e5c66cf47b9dc2c,5fbbfacda56d053a3543f799,MCX .300 BLK 229mm barrel
61805cd55e5c66cf47b9dc2d,58272b842459774abc128d50,SOK-12 CSS rear sight rail mount
61805cd85e5c66cf47b9dc2e,5672cb724bdc2dc2088b456b,Geiger-Muller counter
61805cda5e5c66cf47b9dc2f,5afd7ded5acfc40017541f5e,SKS TAPCO Intrafuse stock
61805cdc5e5c66cf47b9dc30,5e848dc4e4dbc5266a4ec63d,KS-23M wire stock
61805cde5e5c66cf47b9dc31,572b7fa524597762b747ce82,USEC TIER3 Lower
61805ce15e5c66cf47b9dc32,5780cda02459777b272ede61,Dorm room 306 key
61805ce35e5c66cf47b9dc33,5fca13ca637ee0341a484f46,SJ9 TGLabs combat stimulant injector
61805ce55e5c66cf47b9dc34,5c093e3486f77430cb02e593,Dogtag
61805ce85e5c66cf47b9dc35,5b3f3ade86f7746b6b790d8e,Armband
61805cea5e5c66cf47b9dc36,57c55efc2459772d2c6271e7,Hogue OverMolded Rubber Grip
61805cec5e5c66cf47b9dc37,5bb20dcad4351e3bac1212da,HK 416A5 low profile gas block
61805cef5e5c66cf47b9dc38,5bc09a18d4351e003562b68e,Magpul MBUS Gen2 rear flip-up sight
61805cf15e5c66cf47b9dc39,5aa2b986e5b5b00014028f4c,Dundukk sport sunglasses
61805cf35e5c66cf47b9dc3a,5bd071d786f7747e707b93a3,Jason mask
61805cf55e5c66cf47b9dc3b,5e87116b81c4ed43e83cefdd,M590A1 polymer stock
61805cf85e5c66cf47b9dc3c,5aa2b87de5b5b00016327c25,BEAR baseball cap
61805cfa5e5c66cf47b9dc3d,5d1c774f86f7746d6620f8db,Radiator helix
61805cfc5e5c66cf47b9dc3e,564ca99c4bdc2d16268b4589,6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons
61805cff5e5c66cf47b9dc3f,5c0696830db834001d23f5da,PNV-10T Night Vision Goggles
61805d015e5c66cf47b9dc40,57f4c844245977379d5c14d1,PP-9 Klin 9x18PMM submachine gun
61805d035e5c66cf47b9dc41,5448ba0b4bdc2d02308b456c,Factory emergency exit key
61805d055e5c66cf47b9dc42,5d123a3cd7ad1a004e476058,KAC URX 3/3.1 short panel
61805d085e5c66cf47b9dc43,5c9a25172e2216000f20314e,AR-15 Daniel Defense RIS II 12.25 handguard
61805d0a5e5c66cf47b9dc44,56083be64bdc2d20478b456f,MP-133/153 plastic stock
61805d0c5e5c66cf47b9dc45,5d3eb5b6a4b9361eab311902,FN Five-seveN 5.7x28 barrel
61805d0f5e5c66cf47b9dc46,5c878e9d2e2216000f201903,Lantac Dragon 7.62x51 muzzle brake
61805d115e5c66cf47b9dc47,59e7715586f7742ee5789605,Respirator
61805d135e5c66cf47b9dc48,5ed51652f6c34d2cc26336a1,M.U.L.E. stimulant injector
